MeasuredParameterId	DateTime	Value	EcomonMonitoringPoint	Ecomontimestamp_ms	KazHydrometAirPostId	MaxValueDay	MaxValueMonth	Month	Year	MaxValuePerMonth	MaxValuePerYear
16		0.02621			1	27		2	2008	0.33	
16		0.029296703			1	30		1	2008	0.185	
16		0.01283			1	15		8	2009	0.038	
16		0.012148515			1	2		4	2009	0.068	
16		0.02034			1	28		12	2009	0.069	
16		0.016817308			1	15		7	2009	0.075	
16		0.011865385			1	16		6	2009	0.03	
16		0.00726087			1	25		5	2009	0.02	
16		0.018104167			1	6		3	2009	0.049	
16		0.00945			1	4		11	2009	0.031	
16		0.01112037			1	28		10	2009	0.07	
16		0.010201923			1	19		9	2009	0.024	
16		0.0215			1	16		2	2009	0.07	
16		0.022402174			1	22		1	2009	0.077	
16		0.0087			1	3		8	2010	0.028	
16		0.015730769			1	3		4	2010	0.06	
16		0.02478			1	31		12	2010	0.093	
16		0.011653846			1	8		7	2010	0.04	
16		0.012			1	26		6	2010	0.05	
16		0.011434783			1	17		5	2010	0.036	
16		0.019956522			1	30		3	2010	0.075	
16		0.02142			1	29		11	2010	0.081	
16		0.016711538			1	26		10	2010	0.071	
16		0.011673077			1	15		9	2010	0.04	
16		0.036052083			1	17		2	2010	0.118	
16		0.024488636			1	29		1	2010	0.069	
16		0.007490385			1	6		4	2011	0.036	
16		0.01099			1	26		12	2011	0.036	
16		0.01128			1	28		7	2011	0.032	
16		0.009326923			1	25		6	2011	0.033	
16		0.010541667			1	21		5	2011	0.045	
16		0.01725			1	14		3	2011	0.088	
16		0.010576923			1	29		11	2011	0.098	
16		0.008028846			1	24		10	2011	0.027	
16		0.011278846			1	19		9	2011	0.053	
16		0.0186875			1	12		2	2011	0.061	
16		0.033532609			1	8		1	2011	0.109	
16		0.007740385			1	13		8	2012	0.022	
16		0.00713			1	2		4	2012	0.019	
16		0.01173913			1	10		12	2012	0.037	
16		0.00657			1	18		7	2012	0.022	
16		0.006855769			1	30		6	2012	0.026	
